sequence_id,timestep,speed_kmh,fc_temp_c,battery_soc,motor_power_w,h2_pressure_bar,battery_temp_c,label,anomaly_type
0,0,63.7,49.11,0.9211,5511.0,600.82,25.3,0,normal
0,1,34.71,64.38,0.6488,5574.6,604.72,39.26,0,normal
0,2,38.57,61.12,0.6635,9045.0,699.88,24.13,0,normal
0,3,65.16,54.06,0.7963,10591.0,401.93,24.25,0,normal
0,4,44.71,41.75,0.5446,5582.3,393.46,34.87,0,normal
0,5,65.77,51.71,0.5417,3212.6,499.38,26.33,0,normal
0,6,32.84,66.03,0.4604,1445.4,428.83,20.39,0,normal
0,7,71.92,65.32,0.5235,11563.8,631.53,28.42,0,normal
0,8,26.72,65.54,0.7247,3536.6,698.28,27.31,0,normal
0,9,32.19,54.8,0.8856,2555.4,485.55,26.75,0,normal
0,10,76.4,69.97,0.6255,2868.0,593.46,37.22,0,normal
0,11,39.91,46.21,0.7806,2077.9,645.25,20.09,0,normal
0,12,29.04,61.12,0.5452,1895.8,631.05,24.79,0,normal
0,13,47.67,47.91,0.6666,5796.2,690.21,24.02,0,normal
0,14,24.25,49.08,0.395,8277.6,437.51,22.01,0,normal
0,15,33.12,45.86,0.572,6667.9,428.13,27.09,0,normal
0,16,62.15,63.99,0.7052,11252.4,540.46,38.72,0,normal
0,17,63.23,59.0,0.383,1613.4,393.92,36.59,0,normal
0,18,74.4,58.45,0.3615,6545.5,432.69,31.68,0,normal
0,19,63.91,44.86,0.3877,2147.3,680.26,31.23,0,normal
0,20,79.68,58.95,0.7168,7160.4,540.5,26.29,0,normal
0,21,27.37,40.87,0.343,7988.8,568.71,32.4,0,normal
0,22,32.61,46.24,0.4331,3047.7,459.78,34.65,0,normal
0,23,58.06,65.04,0.8641,3390.1,555.22,28.97,0,normal
0,24,45.11,61.09,0.9177,2764.1,489.26,35.05,0,normal
0,25,41.4,60.6,0.3835,8421.7,620.49,35.04,0,normal
0,26,45.15,69.29,0.4499,6110.8,523.74,36.12,0,normal
0,27,45.89,40.32,0.538,11705.0,678.35,25.11,0,normal
0,28,63.98,46.75,0.9785,10091.7,646.23,21.35,0,normal
0,29,72.97,45.25,0.9029,4381.9,670.75,29.9,0,normal
0,30,41.77,53.99,0.6037,6411.3,464.22,20.75,0,normal
0,31,27.3,50.9,0.7457,2987.2,596.79,21.09,0,normal
0,32,46.14,40.79,0.9381,11337.5,430.82,26.35,0,normal
0,33,72.17,44.12,0.6987,2188.6,385.94,31.96,0,normal
0,34,61.9,53.02,0.4116,3540.2,350.02,22.49,0,normal
0,35,42.67,57.19,0.612,9673.7,640.38,38.5,0,normal
0,36,53.12,62.96,0.9292,4040.6,474.9,32.75,0,normal
0,37,44.27,62.83,0.5228,6742.8,433.31,35.59,0,normal
0,38,41.48,52.64,0.6272,4394.6,686.01,33.71,0,normal
0,39,31.63,59.35,0.3377,5186.4,577.9,25.26,0,normal
0,40,51.08,59.57,0.4994,6916.3,679.66,35.28,0,normal
0,41,50.31,53.91,0.4969,3721.3,531.47,34.78,0,normal
0,42,77.25,68.89,0.9378,6277.5,477.67,20.62,0,normal
0,43,58.68,60.86,0.829,10936.2,385.48,32.25,0,normal
0,44,31.45,63.02,0.9696,9342.2,438.99,36.13,0,normal
0,45,66.46,60.13,0.6644,11358.0,630.18,23.36,0,normal
0,46,62.84,64.78,0.3485,2366.2,557.59,22.61,0,normal
0,47,43.12,69.38,0.8815,2076.7,614.3,24.69,0,normal
0,48,37.73,66.92,0.872,11230.0,484.86,22.15,0,normal
0,49,27.85,52.37,0.7408,4669.3,638.23,24.72,0,normal
1,0,42.92,57.08,0.4197,9788.3,440.1,37.59,0,normal
1,1,52.93,61.08,0.8185,3102.5,634.59,33.5,0,normal
1,2,33.94,40.75,0.7317,2205.1,498.3,28.41,0,normal
1,3,48.52,48.31,0.5517,4822.6,518.79,33.54,0,normal
1,4,46.87,56.57,0.322,11035.8,415.53,33.02,0,normal
1,5,49.74,50.84,0.6404,11334.1,372.6,34.74,0,normal
1,6,78.55,48.04,0.4275,6132.5,567.44,22.82,0,normal
1,7,26.91,41.48,0.8295,9222.1,598.05,21.64,0,normal
