Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Vehicle Control Unit","Automotive Grade VCU (e.g., dSPACE SCALEXIO Autobox or equivalent)","","electrical","mcu",1,15000.00,15000.00,"https://www.dspace.com/en/pub/home/products/hw/hardware_in_the_loop_simulation/scalexio_auto_box.cfm"
"Autonomous Onboard Computer","NVIDIA Jetson AGX Xavier Industrial","GPU-enabled edge AI device for real-time camera analytics, object detection, and predictive maintenance models.","electrical","mcu",1,1400.00,1400.00,"https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-agx-xavier-industrial/"
"Front Stereo Camera","StereoLabs ZED 2i Stereo Camera","Stereo camera with depth sensing for detailed 3D facade mapping and close-range obstacle avoidance, complementary to LiDAR.","electrical","sensor",1,450.00,450.00,"https://www.stereolabs.com/zed-2i/"
"LiDAR Unit","Ouster OS0-128 LiDAR Sensor","High-resolution 3D LiDAR for 360-degree environmental perception and autonomous navigation.","electrical","sensor",1,10000.00,10000.00,"https://ouster.com/products/os0-lidar-sensor/"
"High-Frequency IMU","Analog Devices ADIS16480BMLZ","High-performance industrial Inertial Measurement Unit for real-time orientation and balancing.","electrical","sensor",1,750.00,750.00,"https://www.analog.com/en/products/adis16480bmlz.html"
"Fuel Cell Management Unit","OEM Fuel Cell Controller","","electrical","module",1,3000.00,3000.00,"https://www.digikey.com/en/products/result?keywords=fuel+cell+controller"
"High Voltage Battery Management System","Orion BMS 2","Manages the main high-voltage battery bank for safety and performance.","electrical","power",1,2500.00,2500.00,"https://www.orionbms.com/products/orion-bms-2/"
"High Voltage DC/DC Converter (FC to Battery)","RECOM REC150-4812SC","","electrical","power",1,1500.00,1500.00,"https://www.recom-power.com/en/products/dc-dc-converters/rec-series/rec.html"
"Left Rear Wheel Motor Controller","Cascode CM200 Motor Controller","High-power motor controller (inverter) for the single rear electric motor, converting DC battery power to AC for motor drive.","electrical","power",1,3500.00,3500.00,"https://cascode.com.au/product/cm200/"
"Right Rear Wheel Motor Controller","Cascode CM200 Motor Controller","High-power motor controller (inverter) for the single rear electric motor, converting DC battery power to AC for motor drive.","electrical","power",1,3500.00,3500.00,"https://cascode.com.au/product/cm200/"
"Low Voltage DC/DC Converter (HV to 12V)","Vicor DCM3623TD1H25A2T00","","electrical","power",1,150.00,150.00,"https://www.vicorpower.com/products/dc-dc-converters/dcm"
"Hydrogen Leak Sensor Front","Figaro TGS2610-C00","Sensor to detect hydrogen leaks in the passenger cabin.","electrical","sensor",1,20.00,20.00,"https://www.figarosensor.com/products/2610.html"
"Hydrogen Leak Sensor Rear","Figaro TGS2610-C00","Sensor to detect hydrogen leaks in the passenger cabin.","electrical","sensor",1,20.00,20.00,"https://www.figarosensor.com/products/2610.html"
"Hydrogen Shutoff Solenoid Valve","Parker H-Series Solenoid Valve","Controls the flow of shielding gas (Argon) to the welding torch.","electrical","actuator",1,300.00,300.00,"https://www.parker.com/us/en/products/113110255.html"
"Emergency Brake System MCU","Infineon AURIX TC375","","electrical","mcu",1,150.00,150.00,"https://www.infineon.com/cms/en/product/microcontroller/32-bit-industrial-microcontroller/32-bit-aurix-automotive-microcontroller/aurix-tc3xx/aurix-tc37x/"
"Isolation Monitoring Device","Bender ISOMETER isoEV425","","electrical","module",1,1000.00,1000.00,"https://www.bender.de/en/products/isoev425"
"Brake System Plausibility Device","Custom FSG compliant controller","","electrical","mcu",1,400.00,400.00,"https://www.digikey.com/en/products/result?keywords=automotive+microcontroller+safety"
"Steering Actuator (Servo Motor)","Industrial BLDC Servo Motor (e.g., Kollmorgen AKM Series)","","electrical","actuator",1,1200.00,1200.00,"https://www.kollmorgen.com/en-us/products/motors/servo/akm-series"
"Throttle Pedal Actuator","Automotive Electronic Throttle Control Module","","electrical","actuator",1,300.00,300.00,"https://www.digikey.com/en/products/result?keywords=automotive+throttle+actuator"
"Brake Pedal Actuator","Automotive Brake-by-Wire Actuator","Controls braking force electronically.","electrical","actuator",1,800.00,800.00,"https://www.digikey.com/en/products/result?keywords=automotive+brake+actuator"
"Main HV Positive Contactor","TE Connectivity EV200AAANA","High-voltage, high-current contactor for safety disconnect of the main positive battery line.","electrical","power",1,150.00,150.00,"https://www.te.com/usa-en/product-EV200AAANA.html"
"Main HV Negative Contactor","TE Connectivity EV200AAANA","High-voltage, high-current contactor for safety disconnect of the main positive battery line.","electrical","power",1,150.00,150.00,"https://www.te.com/usa-en/product-EV200AAANA.html"
"CAN Bus Transceiver (Main)","Microchip MCP2562FD-E/SN","High-speed CAN FD transceiver for powertrain communication network.","electrical","module",1,2.00,2.00,"https://www.microchip.com/en-us/product/mcp2562fd"
"CAN Bus Transceiver (Autonomous)","Microchip MCP2562FD-E/SN","High-speed CAN FD transceiver for powertrain communication network.","electrical","module",1,2.00,2.00,"https://www.microchip.com/en-us/product/mcp2562fd"
"CAN Bus Transceiver (Safety)","Microchip MCP2562FD-E/SN","High-speed CAN FD transceiver for powertrain communication network.","electrical","module",1,2.00,2.00,"https://www.microchip.com/en-us/product/mcp2562fd"
"Steering Angle Sensor","MELEXIS MLX90363","Measures the steering wheel angle for driver input analysis and potential traction control.","electrical","sensor",1,15.00,15.00,"https://www.melexis.com/en/product/MLX90363/Triaxis-Position-Sensor"
